2010-11-15 00:00:00,Raises FY 2010 EPS Sees FY 2010 Same Store Sales At High End Of Prior Guidance
2011-02-01 00:00:00,Fitch Affirms IDR at Outlook Stable
2011-02-17 00:00:00,Issues FY 2011 EPS Guidance Above Comments On FY 2011 Sales Guidance
2011-02-23 00:00:00,Announces Regular Quarterly Dividend
2011-03-23 00:00:00,Completes Acquisition Of HauteLook
2011-05-12 00:00:00,Authorizes Million Share Repurchase Program and Approves Quarterly Dividend
2011-08-11 00:00:00,Raises FY 2011 EPS Comments On FY 2011 Same Store Sales Guidance
2011-08-25 00:00:00,Board Of Directors Approves Quarterly Dividend
2011-11-10 00:00:00,Raises Low End Of Prior FY 2011 EPS See FY 2011 Same Store Sales Guidance At High End Of Prior Range
2012-02-16 00:00:00,Issues FY 2012 EPS Guidance Below Comments FY 2012 Sales Guidance
2012-02-17 00:00:00,Authorizes Million Share Repurchase Program And Increases Regular Quarterly Dividend
2012-05-10 00:00:00,Approves Quarterly Dividend
2012-08-02 00:00:00,Comments On Q2 2012 Sales Guidance
2012-08-09 00:00:00,Nordstrom Inc Raises FY 2012 EPS Guidance
2012-10-25 00:00:00,Nordstrom to Report Third Quarter 2012 Financial Results
2012-11-01 00:00:00,surges on smaller Zumiez slumps
2012-11-06 00:00:00,Nordstrom Third Quarter Earnings Sneak Peek
