2011-02-22 00:00:00,VF Corporation Issues FY 2011 Guidance Above Declares Quarterly Cash Dividend
2011-03-30 00:00:00,VF Corporation Completes Acquisition Of Rock And Republic Brand
2011-06-13 00:00:00,VF Corporation To Acquire The Timberland Company For Per Share
2011-07-21 00:00:00,VF Corporation Declares Quarterly Cash Dividend
2011-09-13 00:00:00,VF Corporation Completes Acquisition Of The Timberland Company
2011-10-24 00:00:00,VF Corporation Raises FY 2011 Declares Quarterly Cash Dividend
2011-11-02 00:00:00,VF VF Mauritius To Acquire Joint Venture With In India
2012-02-16 00:00:00,VF Corporation Issues FY 2012 Guidance Below Call
2012-03-08 00:00:00,VF Corporation Announces Lion Capital LLP To Acquire Majority Ownership Interest In John Varvatos
2012-07-19 00:00:00,VF Corp Declares Quarterly Cash Dividend
2012-10-17 00:00:00,Forbes Earnings VF Corporation
2012-10-24 00:00:00,Did You Miss This Apparel Big Dividend
2012-11-06 00:00:00,True Religion Apparel Shatters Investors Wealth after
