2010-12-01 00:00:00,NiSource Prices Million Note Offering
2011-03-22 00:00:00,NiSource Declares Quarterly Common Dividend
2011-11-14 00:00:00,NiSource NiSource Finance Corp Announces Offer Of Million In Two Series of Notes
2011-11-23 00:00:00,NiSource Inc Issues Million In Two Series Of Notes
2012-01-27 00:00:00,NiSource Inc Declares Quarterly Common Dividend
2012-08-28 00:00:00,NiSource Inc Declares Quarterly Common Dividend
2012-10-16 00:00:00,NISOURCE NiSource Schedules Earnings Release and Conference Call
2012-10-23 00:00:00,Nisource Stock Rating Reaffirmed by Wunderlich
2012-10-26 00:00:00,NISOURCE Columbia Gas Transmission Moving Forward With East Side
2012-10-31 00:00:00,Analyst Estimates for US Earnings Tuesday
2012-11-01 00:00:00,Earnings Report for November 2012 MHP
2012-11-02 00:00:00,NiSource Inc Reaffirms FY 2012 EPS Comments On Long Term Earnings Guidance
2012-11-05 00:00:00,Northeast Utilities Posts Mixed 3Q Analyst Blog
