2011-03-02 00:00:00,Issues Q1 2011 Mixed Issues FY 2011 EPS Guidance Above Estimates
2011-03-08 00:00:00,Announces Increase In Quarterly Cash Dividend
2011-03-29 00:00:00,Reaffirms FY 2011 Call
2011-03-31 00:00:00,Announces New Switzerland Partnership With Bro Schoch Direct AG
2011-05-18 00:00:00,Issues Q2 2011 Guidance Below Lowers FY 2011 Guidance
2011-06-07 00:00:00,Announces Second Quarter 2011 Dividend
2011-08-17 00:00:00,Issues Q3 2011 Guidance In Line With Reaffirms FY 2011 Revenue Raises Low End Of Prior FY 2011 EPS Guidance To A Range Above Estimates
2011-09-13 00:00:00,Announces New Billion Share Repurchase Authorization And Third Quarter 2011 Dividend
2011-09-27 00:00:00,Appoints Christine Komola As Chief Financial Officer
2011-11-15 00:00:00,Issues Q4 2011 Guidance In Line With Reaffirms FY 2011 Revenue Lowers FY 2011 EPS Guidance
2011-11-30 00:00:00,Announces A New Mobile App
2012-02-29 00:00:00,Issues FY 2012 Guidance In Line With Estimates
2012-05-16 00:00:00,Reaffirms FY 2012 Guidance
2012-06-04 00:00:00,Announces Second Quarter 2012 Dividend
2012-06-27 00:00:00,Reaffirms FY 2012 Call
2012-08-15 00:00:00,Staples Inc Lowers FY 2012 Guidance
2012-10-10 00:00:00,Staples Makes the Holidays Easy for Small Businesses with
2012-10-11 00:00:00,Bear of the Day
2012-10-15 00:00:00,launches Was program for PC buying
2012-10-17 00:00:00,Zacks Sell List Big Staples and Gold Fields
2012-10-24 00:00:00,Stemberg Divorce Testimony to Be Released
2012-10-25 00:00:00,Staples Celebrates Arrival of Windows 8 with Its Was Campaign
