2010-11-10 00:00:00,Polo Ralph Lauren Comments On Q3 2011 Revenue And Comparable Store Sales Raises FY 2011 Revenue Guidance
2011-02-09 00:00:00,Polo Ralph Lauren Issues FY 2011 Revenue Guidance Below Estimates
2011-06-20 00:00:00,Polo Ralph Lauren Declares Quarterly Dividend
2011-08-10 00:00:00,Polo Ralph Lauren Comments On Q2 2012 Revenue Raises FY 2012 Revenue Guidance
2011-09-19 00:00:00,Ralph Lauren Corporation Declares Quarterly Dividend
2012-02-08 00:00:00,Ralph Lauren Corporation Raises FY 2012 Revenue Guidance
2012-05-22 00:00:00,Ralph Lauren Corporation Declares Quarterly Cash Dividend
2012-07-18 00:00:00,Ralph Lauren Corporation Announces CFO
2012-10-10 00:00:00,Ralph Lauren Upgraded to Overweight at Piper Sees Upside
2012-11-01 00:00:00,RL Makes Bullish Cross Above Critical Moving Average
2012-11-02 00:00:00,Ralph Lauren Corp Lowers FY 2013 Revenue Comments On Q3 2012 Revenue Sees H2 2013 Charge Comments On Q4 2013 Charge Guidance
2012-11-05 00:00:00,Ralph Lauren Announces Million Gift To Hurricane Sandy Relief Efforts
