2010-11-10 00:00:00,Polo Ralph Lauren Comments On Q3 2011 Revenue And Comparable Store Sales Raises FY 2011 Revenue Guidance
2010-12-20 00:00:00,Polo Ralph Lauren Declares Quarterly Dividend
2011-02-09 00:00:00,Polo Ralph Lauren Issues FY 2011 Revenue Guidance Below Estimates
2011-05-25 00:00:00,Polo Ralph Lauren Comments On Q1 2012 Revenue Issues FY 2012 Revenue Guidance In Line With Comments On Q1 2012 Comparable Same Store Sales Guidance
2011-08-10 00:00:00,Polo Ralph Lauren Comments On Q2 2012 Revenue Raises FY 2012 Revenue Guidance
2011-09-19 00:00:00,Ralph Lauren Corporation Declares Quarterly Dividend
2011-11-09 00:00:00,Ralph Lauren Corporation Comments On Q3 2012 Revenue Raises FY 2012 Revenue Guidance
2012-02-08 00:00:00,Ralph Lauren Corporation Raises FY 2012 Revenue Guidance
2012-05-22 00:00:00,Ralph Lauren Corporation Declares Quarterly Cash Dividend
2012-07-18 00:00:00,Ralph Lauren Corporation Announces CFO
2012-08-08 00:00:00,Ralph Lauren Corporation Reaffirms FY 2013 Revenue Comments On Q2 2013 Revenue Guidance
2012-10-24 00:00:00,Ralph family brands
2012-10-31 00:00:00,The Truth About Ralph Lauren
2012-11-01 00:00:00,RL Makes Bullish Cross Above Critical Moving Average
2012-11-02 00:00:00,Ralph Lauren Corp Lowers FY 2013 Revenue Comments On Q3 2012 Revenue Sees H2 2013 Charge Comments On Q4 2013 Charge Guidance
